 Plot,Logger,Port,PakBus,Loggernet Channel,Reference_Probe_ID,Sensor_Probe_ID,Depth_cm,Grid_Square,Installation_Date,Last_Checked,Status,Pending_Action,Notes
Saltwater,32,,,RedoxRa(15),Ref 1,4,35,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRa(16),Ref 1,4,55,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRa(17),Ref 1,5,10,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRa(18),Ref 1,5,20,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRa(19),Ref 1,5,35,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRa(20),Ref 1,5,55,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(1),Ref 2,1,10,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(2),Ref 2,1,20,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(3),Ref 2,1,35,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(4),Ref 2,1,55,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(5),Ref 2,2,10,F6,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(6),Ref 2,2,20,F6,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(7),Ref 2,2,35,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(8),Ref 2,2,55,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(9),Ref 2,3,10,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(10),Ref 2,3,20,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(11),Ref 2,3,35,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(12),Ref 2,3,55,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(13),Ref 2,4,10,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(14),Ref 2,4,20,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(15),Ref 2,4,35,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(16),Ref 2,4,55,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(17),Ref 2,5,10,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(18),Ref 2,5,20,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRb(19),Ref 2,5,35,F4,3-May-2024,10-Apr-2026,Active,,
Saltwater,32,,,RedoxRa(20),Ref 2,5,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(1),Ref 1,1,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(2),Ref 1,1,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(3),Ref 1,1,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(4),Ref 1,1,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(5),Ref 1,2,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(6),Ref 1,2,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(7),Ref 1,2,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(8),Ref 1,2,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(9),Ref 1,3,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(10),Ref 1,3,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(11),Ref 1,3,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(12),Ref 1,3,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(13),Ref 1,4,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(14),Ref 1,4,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(15),Ref 1,4,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(16),Ref 1,4,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(17),Ref 1,5,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(18),Ref 1,5,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(19),Ref 1,5,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(20),Ref 1,5,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(1),Ref 2,1,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(2),Ref 2,1,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(3),Ref 2,1,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(4),Ref 2,1,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(5),Ref 2,2,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(6),Ref 2,2,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(7),Ref 2,2,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(8),Ref 2,2,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(9),Ref 2,3,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(10),Ref 2,3,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(11),Ref 2,3,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(12),Ref 2,3,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(13),Ref 2,4,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(14),Ref 2,4,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(15),Ref 2,4,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(16),Ref 2,4,55,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(17),Ref 2,5,10,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(18),Ref 2,5,20,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRb(19),Ref 2,5,35,F4,3-May-2024,10-Apr-2026,Active,,
Freshwater,21,,,RedoxRa(20),Ref 2,5,55,F4,3-May-2024,10-Apr-2026,Active,,
